Código;Municipio;Departamento;ABELARDO DE LA ESPRIELLA;IVÁN CEPEDA CASTRO;PALOMA VALENCIA LASERNA;SERGIO FAJARDO VALDERRAMA;CLAUDIA LÓPEZ;RAÚL SANTIAGO BOTERO JARAMILLO;ÓSCAR MAURICIO LIZCANO ARANGO;MIGUEL URIBE LONDOÑO;SONDRA MACOLLINS GARVIN PINTO;ROY LEONARDO BARRERAS MONTEALEGRE;LUIS GILBERTO MURILLO URRUTIA;CARLOS EDUARDO CAICEDO OMAR;GUSTAVO MATAMOROS CAMACHO;Voto en blanco;Nulos;No marcados;Válidos;Votantes
01073;CAMPAMENTO;Antioquia;1.131;426;220;91;20;45;9;8;7;2;4;1;3;64;29;14;2.031;2.074
01076;CAÑASGORDAS;Antioquia;4.258;1.044;1.777;168;12;86;13;8;5;6;4;3;3;110;50;39;7.497;7.586
01078;CARACOLI;Antioquia;1.129;445;248;41;13;43;3;6;1;4;2;1;0;29;15;11;1.965;1.991
01079;CARAMANTA;Antioquia;1.168;387;659;92;4;33;0;4;5;2;1;2;0;28;26;9;2.385;2.420
01080;CAREPA;Antioquia;7.089;12.538;1.009;502;67;199;47;23;18;13;9;7;0;582;196;87;22.103;22.386
01082;CARMEN DE VIBORAL;Antioquia;19.259;7.719;3.180;2.804;167;364;51;62;39;23;12;11;3;574;378;78;34.268;34.724
01085;CAROLINA;Antioquia;1.350;483;322;120;10;12;5;4;5;2;7;2;0;43;25;12;2.365;2.402
01088;CAUCASIA;Antioquia;14.390;18.877;1.065;771;276;395;76;55;47;39;13;29;10;972;477;140;37.015;37.632
01106;CHIGORODO;Antioquia;8.393;13.171;965;614;93;296;57;32;25;24;11;20;6;637;244;101;24.344;24.689
01091;CISNEROS;Antioquia;3.523;1.639;758;306;24;140;8;4;7;5;0;5;3;157;86;28;6.579;6.693
01094;COCORNA;Antioquia;5.912;1.017;1.115;251;28;127;30;28;24;12;6;8;6;105;68;74;8.669;8.811
01097;CONCEPCION;Antioquia;1.902;278;342;101;16;17;5;4;5;4;0;3;1;42;24;17;2.720;2.761
01100;CONCORDIA;Antioquia;4.234;901;1.054;154;30;133;14;29;26;14;4;5;3;163;66;42;6.764;6.872
01103;COPACABANA;Antioquia;23.129;13.240;3.660;3.929;202;430;46;61;20;13;37;13;9;958;557;69;45.747;46.373
01109;DABEIBA;Antioquia;3.711;2.923;511;187;25;135;14;17;14;5;4;9;3;144;88;52;7.702;7.842
01112;DON MATIAS;Antioquia;6.501;1.263;999;496;41;127;19;24;13;8;5;7;4;230;115;42;9.737;9.894
01115;EBEJICO;Antioquia;3.233;946;932;155;24;88;15;21;11;8;10;4;3;92;64;34;5.542;5.640
01117;EL BAGRE;Antioquia;5.608;6.230;507;292;49;248;41;39;20;21;12;9;6;414;293;130;13.496;13.919
01118;ENTRERRIOS;Antioquia;3.765;775;542;436;21;59;8;7;8;4;1;1;0;144;57;14;5.771;5.842
01121;ENVIGADO;Antioquia;106.750;23.934;14.875;14.177;552;617;116;111;67;35;48;28;56;1.857;903;169;163.223;164.295
01124;FREDONIA;Antioquia;4.536;2.065;1.355;300;37;144;22;19;10;20;6;2;8;170;117;53;8.694;8.864
01127;FRONTINO;Antioquia;3.173;2.033;762;239;29;93;16;17;16;11;5;3;2;148;86;36;6.547;6.669
01130;GIRALDO;Antioquia;1.446;876;305;102;5;29;1;6;1;2;0;0;0;63;25;8;2.836;2.869
01133;GIRARDOTA;Antioquia;16.081;8.511;2.840;2.631;143;393;131;50;37;17;18;16;5;756;505;68;31.629;32.202
01136;GOMEZ PLATA;Antioquia;2.944;691;520;241;24;70;12;15;11;4;2;2;1;118;66;20;4.655;4.741
01139;GRANADA;Antioquia;4.553;589;410;178;18;40;9;15;9;5;20;4;3;53;38;27;5.906;5.971
01140;GUADALUPE;Antioquia;1.028;823;168;77;14;20;6;9;7;1;1;2;1;95;40;11;2.252;2.303
01142;GUARNE;Antioquia;18.974;6.465;2.980;2.315;166;271;37;53;22;32;12;12;14;597;344;74;31.950;32.368
01145;GUATAPE;Antioquia;3.883;799;794;312;22;39;10;3;3;3;4;2;0;67;28;13;5.941;5.982
01148;HELICONIA;Antioquia;1.471;588;565;90;7;45;5;10;6;4;5;4;3;64;35;22;2.867;2.924
01150;HISPANIA;Antioquia;1.620;476;267;114;14;42;8;11;1;3;2;1;1;33;12;15;2.593;2.620
01151;ITAGUI;Antioquia;90.656;39.461;12.156;13.637;697;1.432;194;178;98;75;112;48;40;2.912;1.695;205;161.696;163.596
01154;ITUANGO;Antioquia;2.001;1.547;474;181;55;128;17;29;20;12;10;13;11;238;115;77;4.736;4.928
01157;JARDIN;Antioquia;4.799;1.918;1.129;405;26;83;12;10;9;8;2;0;0;129;49;22;8.530;8.601
01160;JERICO;Antioquia;4.143;1.228;978;255;19;76;12;14;13;8;5;9;3;131;83;24;6.894;7.001
01163;LA CEJA;Antioquia;27.398;8.622;4.425;4.224;240;387;70;68;34;26;16;20;10;688;483;118;46.228;46.829
01166;LA ESTRELLA;Antioquia;22.579;10.269;4.111;3.600;140;401;42;43;19;14;18;12;16;789;459;50;42.053;42.562
01170;LA PINTADA;Antioquia;1.908;1.191;347;89;9;59;4;6;7;5;1;1;0;82;53;17;3.709;3.779
01169;LA UNION;Antioquia;7.448;2.392;2.093;1.276;80;200;29;35;30;11;8;5;7;299;167;40;13.913;14.120
01172;LIBORINA;Antioquia;3.029;700;735;170;21;58;4;14;5;10;3;0;0;59;33;20;4.808;4.861
01270;TARAZA;Antioquia;2.214;3.594;278;148;40;136;33;19;10;3;4;9;3;188;102;31;6.679;6.812
01280;TURBO;Antioquia;13.435;26.437;1.683;554;165;296;103;43;31;34;26;22;16;1.113;478;162;43.958;44.598
01295;YARUMAL;Antioquia;9.119;3.096;1.732;1.239;109;221;34;40;26;16;9;13;6;496;279;83;16.156;16.518
40001;ARAUCA;Arauna;22.710;7.194;2.745;1.044;143;567;83;86;38;25;22;23;11;680;419;65;35.371;35.855
40010;ARAUQUITA;Arauca;4.931;7.671;501;198;79;271;36;36;21;10;10;15;6;485;331;83;14.270;14.684
03001;BARRANQUILLA;Atlántico;272.331;281.123;11.466;20.320;1.625;1.566;1.061;267;256;139;179;359;124;7.248;2.643;889;598.064;601.596
03004;BARANOA;Atlántico;9.686;17.979;477;462;63;84;52;21;13;11;12;18;14;363;82;51;29.255;29.388
03022;MALAMBO;Atlántico;11.621;29.475;565;546;75;199;105;21;9;15;12;27;4;445;232;68;43.119;43.419
03052;SOLEDAD;Atlántico;54.568;104.590;2.486;3.265;323;636;251;92;67;28;46;103;35;2.059;801;203;168.549;169.553
